Unnamed: 0,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,shape,MATCHkey,RT,correct,response,condition,TaskType,Association
155,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,diamond,,neutral,Yneutral_k,369,0.0,j,single,RG_incongruent,neutral
156,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,437,1.0,j,pair,RG_incongruent,friendhappy
157,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,triangle,diamond,youneutral,Yneutral_k,339,1.0,k,pair,RG_incongruent,youneutral
158,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,diamond,,neutral,Yneutral_k,429,1.0,k,single,RG_incongruent,neutral
159,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,rhomboid,,friend,Yneutral_k,300,1.0,j,single,RG_incongruent,friend
160,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,octagon,,happy,Yneutral_k,554,0.0,k,single,RG_incongruent,happy
161,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,473,1.0,j,pair,RG_incongruent,happyfriend
162,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,octagon,,happy,Yneutral_k,360,1.0,j,single,RG_incongruent,happy
163,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,diamond,,neutral,Yneutral_k,315,0.0,j,single,RG_incongruent,neutral
164,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,diamond,,neutral,Yneutral_k,332,0.0,j,single,RG_incongruent,neutral
165,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,triangle,,you,Yneutral_k,338,1.0,k,single,RG_incongruent,you
166,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,diamond,,neutral,Yneutral_k,444,1.0,k,single,RG_incongruent,neutral
167,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,triangle,diamond,youneutral,Yneutral_k,344,1.0,k,pair,RG_incongruent,youneutral
168,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,triangle,diamond,youneutral,Yneutral_k,325,1.0,k,pair,RG_incongruent,youneutral
169,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,423,1.0,j,pair,RG_incongruent,friendhappy
170,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,rhomboid,,friend,Yneutral_k,465,1.0,j,single,RG_incongruent,friend
171,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,triangle,,you,Yneutral_k,477,1.0,k,single,RG_incongruent,you
172,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,rhomboid,,friend,Yneutral_k,668,1.0,j,single,RG_incongruent,friend
173,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,triangle,,you,Yneutral_k,376,1.0,k,single,RG_incongruent,you
174,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,octagon,,happy,Yneutral_k,414,1.0,j,single,RG_incongruent,happy
175,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,rhomboid,,friend,Yneutral_k,465,1.0,j,single,RG_incongruent,friend
176,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,triangle,diamond,youneutral,Yneutral_k,288,1.0,k,pair,RG_incongruent,youneutral
177,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,rhomboid,,friend,Yneutral_k,328,0.0,k,single,RG_incongruent,friend
178,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,diamond,,neutral,Yneutral_k,530,1.0,k,single,RG_incongruent,neutral
179,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,triangle,,you,Yneutral_k,465,0.0,j,single,RG_incongruent,you
180,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,triangle,,you,Yneutral_k,738,1.0,k,single,RG_incongruent,you
181,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,octagon,,happy,Yneutral_k,461,1.0,j,single,RG_incongruent,happy
182,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,triangle,,you,Yneutral_k,415,1.0,k,single,RG_incongruent,you
183,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,octagon,,happy,Yneutral_k,567,1.0,j,single,RG_incongruent,happy
184,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,diamond,,neutral,Yneutral_k,459,1.0,k,single,RG_incongruent,neutral
185,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,octagon,,happy,Yneutral_k,479,1.0,j,single,RG_incongruent,happy
186,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,623,1.0,j,pair,RG_incongruent,friendhappy
187,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,triangle,diamond,youneutral,Yneutral_k,356,1.0,k,pair,RG_incongruent,youneutral
188,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,569,1.0,k,pair,RG_incongruent,neutralyou
189,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,octagon,,happy,Yneutral_k,506,1.0,j,single,RG_incongruent,happy
190,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,410,1.0,j,pair,RG_incongruent,happyfriend
191,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,270,1.0,j,pair,RG_incongruent,friendhappy
192,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,376,1.0,k,pair,RG_incongruent,neutralyou
193,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,339,1.0,j,pair,RG_incongruent,friendhappy
194,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,350,0.0,j,pair,RG_incongruent,neutralyou
195,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,diamond,,neutral,Yneutral_k,399,1.0,k,single,RG_incongruent,neutral
196,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,triangle,,you,Yneutral_k,359,1.0,k,single,RG_incongruent,you
197,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,triangle,,you,Yneutral_k,303,1.0,k,single,RG_incongruent,you
198,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,rhomboid,,friend,Yneutral_k,308,0.0,k,single,RG_incongruent,friend
199,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,octagon,,happy,Yneutral_k,636,1.0,j,single,RG_incongruent,happy
200,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,triangle,,you,Yneutral_k,327,1.0,k,single,RG_incongruent,you
201,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,triangle,diamond,youneutral,Yneutral_k,444,1.0,k,pair,RG_incongruent,youneutral
202,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,281,1.0,j,pair,RG_incongruent,happyfriend
203,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,452,1.0,j,pair,RG_incongruent,happyfriend
204,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,diamond,,neutral,Yneutral_k,455,1.0,k,single,RG_incongruent,neutral
205,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,diamond,,neutral,Yneutral_k,289,1.0,k,single,RG_incongruent,neutral
206,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,diamond,,neutral,Yneutral_k,321,0.0,j,single,RG_incongruent,neutral
207,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,diamond,,neutral,Yneutral_k,308,1.0,k,single,RG_incongruent,neutral
208,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,octagon,,happy,Yneutral_k,433,0.0,k,single,RG_incongruent,happy
209,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,rhomboid,,friend,Yneutral_k,488,0.0,k,single,RG_incongruent,friend
210,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,rhomboid,,friend,Yneutral_k,582,1.0,j,single,RG_incongruent,friend
211,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,rhomboid,,friend,Yneutral_k,268,1.0,j,single,RG_incongruent,friend
212,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,445,1.0,j,pair,RG_incongruent,friendhappy
213,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,341,1.0,j,pair,RG_incongruent,friendhappy
214,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,rhomboid,,friend,Yneutral_k,352,0.0,k,single,RG_incongruent,friend
215,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,rhomboid,,friend,Yneutral_k,372,1.0,j,single,RG_incongruent,friend
216,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,diamond,,neutral,Yneutral_k,518,1.0,k,single,RG_incongruent,neutral
217,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,580,1.0,k,pair,RG_incongruent,neutralyou
218,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,octagon,,happy,Yneutral_k,445,1.0,j,single,RG_incongruent,happy
219,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,diamond,,neutral,Yneutral_k,455,1.0,k,single,RG_incongruent,neutral
220,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,triangle,,you,Yneutral_k,429,0.0,j,single,RG_incongruent,you
221,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,rhomboid,,friend,Yneutral_k,1018,1.0,j,single,RG_incongruent,friend
222,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,triangle,,you,Yneutral_k,460,1.0,k,single,RG_incongruent,you
223,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,628,1.0,j,pair,RG_incongruent,happyfriend
224,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,triangle,,you,Yneutral_k,435,1.0,k,single,RG_incongruent,you
225,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,diamond,,neutral,Yneutral_k,422,1.0,k,single,RG_incongruent,neutral
226,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,triangle,,you,Yneutral_k,373,1.0,k,single,RG_incongruent,you
227,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,triangle,diamond,youneutral,Yneutral_k,306,1.0,k,pair,RG_incongruent,youneutral
228,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,diamond,,neutral,Yneutral_k,330,1.0,k,single,RG_incongruent,neutral
229,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,diamond,,neutral,Yneutral_k,261,1.0,k,single,RG_incongruent,neutral
230,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,octagon,,happy,Yneutral_k,280,0.0,k,single,RG_incongruent,happy
231,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,octagon,,happy,Yneutral_k,437,1.0,j,single,RG_incongruent,happy
232,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,triangle,diamond,youneutral,Yneutral_k,426,1.0,k,pair,RG_incongruent,youneutral
233,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,509,1.0,k,pair,RG_incongruent,neutralyou
234,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,561,1.0,j,pair,RG_incongruent,friendhappy
235,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,triangle,diamond,youneutral,Yneutral_k,511,1.0,k,pair,RG_incongruent,youneutral
236,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,diamond,,neutral,Yneutral_k,509,1.0,k,single,RG_incongruent,neutral
237,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,433,1.0,k,pair,RG_incongruent,neutralyou
238,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,502,1.0,j,pair,RG_incongruent,happyfriend
239,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,rhomboid,,friend,Yneutral_k,542,1.0,j,single,RG_incongruent,friend
240,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,triangle,,you,Yneutral_k,411,1.0,k,single,RG_incongruent,you
241,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,rhomboid,,friend,Yneutral_k,465,1.0,j,single,RG_incongruent,friend
242,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,octagon,,happy,Yneutral_k,372,1.0,j,single,RG_incongruent,happy
243,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,-400,octagon,,happy,Yneutral_k,504,1.0,j,single,RG_incongruent,happy
244,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,octagon,,happy,Yneutral_k,433,1.0,j,single,RG_incongruent,happy
245,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,446,1.0,k,pair,RG_incongruent,neutralyou
246,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,triangle,,you,Yneutral_k,370,0.0,j,single,RG_incongruent,you
247,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,580,1.0,j,pair,RG_incongruent,happyfriend
248,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,octagon,,happy,Yneutral_k,515,1.0,j,single,RG_incongruent,happy
249,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,triangle,,you,Yneutral_k,354,1.0,k,single,RG_incongruent,you
250,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,477,1.0,j,pair,RG_incongruent,friendhappy
251,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,octagon,,happy,Yneutral_k,373,1.0,j,single,RG_incongruent,happy
252,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400; -400,triangle,diamond,youneutral,Yneutral_k,574,1.0,k,pair,RG_incongruent,youneutral
253,4,1,19,female,College or Technical school,right-handed,RG1_YN,3.0,400,rhomboid,,friend,Yneutral_k,422,1.0,j,single,RG_incongruent,friend
