stim1,stim2,RT,correct,condition,Association,TaskType
diamond,,342,0,single,friend,RG_incongruent
diamond,diamond,392,0,pair,friendhappy,RG_incongruent
diamond,diamond,597,1,pair,friendhappy,RG_incongruent
triangle,,369,1,single,neutral,RG_incongruent
rhomboid,triangle,414,1,pair,youneutral,RG_incongruent
triangle,,466,0,single,neutral,RG_incongruent
diamond,,378,1,single,friend,RG_incongruent
diamond,,775,1,single,friend,RG_incongruent
rhomboid,triangle,373,1,pair,youneutral,RG_incongruent
diamond,,521,1,single,friend,RG_incongruent
diamond,,857,0,single,happy,RG_incongruent
triangle,rhomboid,513,1,pair,youneutral,RG_incongruent
diamond,,1092,1,single,happy,RG_incongruent
rhomboid,,484,1,single,you,RG_incongruent
diamond,,511,1,single,happy,RG_incongruent
diamond,,447,1,single,friend,RG_incongruent
triangle,rhomboid,350,1,pair,youneutral,RG_incongruent
rhomboid,,483,0,single,you,RG_incongruent
triangle,,434,1,single,neutral,RG_incongruent
rhomboid,,372,1,single,you,RG_incongruent
diamond,diamond,532,1,pair,friendhappy,RG_incongruent
diamond,,604,0,single,friend,RG_incongruent
triangle,,340,1,single,neutral,RG_incongruent
diamond,diamond,496,1,pair,friendhappy,RG_incongruent
rhomboid,,504,1,single,you,RG_incongruent
rhomboid,,566,0,single,you,RG_incongruent
diamond,,376,1,single,happy,RG_incongruent
diamond,,549,1,single,friend,RG_incongruent
diamond,,528,1,single,happy,RG_incongruent
rhomboid,triangle,391,1,pair,youneutral,RG_incongruent
rhomboid,,366,0,single,you,RG_incongruent
diamond,,415,1,single,friend,RG_incongruent
diamond,,596,1,single,happy,RG_incongruent
rhomboid,,554,1,single,you,RG_incongruent
rhomboid,,648,1,single,you,RG_incongruent
diamond,,318,0,single,friend,RG_incongruent
diamond,diamond,674,1,pair,friendhappy,RG_incongruent
diamond,diamond,516,0,pair,friendhappy,RG_incongruent
diamond,diamond,543,1,pair,friendhappy,RG_incongruent
diamond,,507,1,single,happy,RG_incongruent
rhomboid,triangle,428,1,pair,youneutral,RG_incongruent
diamond,,452,1,single,friend,RG_incongruent
diamond,,389,1,single,happy,RG_incongruent
rhomboid,,344,0,single,you,RG_incongruent
diamond,diamond,353,1,pair,friendhappy,RG_incongruent
diamond,,299,1,single,friend,RG_incongruent
diamond,,427,1,single,happy,RG_incongruent
rhomboid,triangle,472,1,pair,youneutral,RG_incongruent
diamond,diamond,376,0,pair,friendhappy,RG_incongruent
triangle,,345,0,single,neutral,RG_incongruent
triangle,rhomboid,493,1,pair,youneutral,RG_incongruent
diamond,diamond,506,1,pair,friendhappy,RG_incongruent
triangle,rhomboid,511,1,pair,youneutral,RG_incongruent
triangle,,455,1,single,neutral,RG_incongruent
diamond,,484,1,single,happy,RG_incongruent
diamond,,847,1,single,friend,RG_incongruent
diamond,,769,1,single,friend,RG_incongruent
triangle,,411,0,single,neutral,RG_incongruent
diamond,,412,0,single,happy,RG_incongruent
diamond,diamond,473,1,pair,friendhappy,RG_incongruent
diamond,,833,1,single,happy,RG_incongruent
diamond,diamond,691,1,pair,friendhappy,RG_incongruent
triangle,rhomboid,456,1,pair,youneutral,RG_incongruent
rhomboid,,511,0,single,you,RG_incongruent
rhomboid,triangle,485,1,pair,youneutral,RG_incongruent
rhomboid,triangle,428,1,pair,youneutral,RG_incongruent
rhomboid,,439,1,single,you,RG_incongruent
rhomboid,,329,1,single,you,RG_incongruent
diamond,diamond,429,1,pair,friendhappy,RG_incongruent
triangle,rhomboid,434,1,pair,youneutral,RG_incongruent
triangle,,862,1,single,neutral,RG_incongruent
triangle,,729,0,single,neutral,RG_incongruent
triangle,,640,1,single,neutral,RG_incongruent
triangle,,434,1,single,neutral,RG_incongruent
triangle,,584,1,single,neutral,RG_incongruent
diamond,,339,0,single,friend,RG_incongruent
triangle,,303,1,single,neutral,RG_incongruent
diamond,,469,1,single,friend,RG_incongruent
rhomboid,triangle,464,1,pair,youneutral,RG_incongruent
triangle,rhomboid,639,1,pair,youneutral,RG_incongruent
rhomboid,,677,1,single,you,RG_incongruent
diamond,,801,1,single,friend,RG_incongruent
triangle,,676,1,single,neutral,RG_incongruent
diamond,,494,1,single,happy,RG_incongruent
diamond,diamond,526,0,pair,friendhappy,RG_incongruent
diamond,,361,0,single,friend,RG_incongruent
diamond,,358,0,single,happy,RG_incongruent
diamond,,479,1,single,happy,RG_incongruent
rhomboid,,390,1,single,you,RG_incongruent
rhomboid,,564,1,single,you,RG_incongruent
pentagon,,637,1,single,friend,RG_congruent
kite,pentagon,613,1,pair,friendneutral,RG_congruent
square,trapeze,435,1,pair,youhappy,RG_congruent
trapeze,,371,1,single,happy,RG_congruent
kite,,701,1,single,neutral,RG_congruent
trapeze,square,490,1,pair,youhappy,RG_congruent
kite,,354,1,single,neutral,RG_congruent
trapeze,,305,1,single,happy,RG_congruent
kite,pentagon,707,1,pair,friendneutral,RG_congruent
trapeze,,367,1,single,happy,RG_congruent
kite,,383,1,single,neutral,RG_congruent
pentagon,kite,780,1,pair,friendneutral,RG_congruent
kite,pentagon,618,1,pair,friendneutral,RG_congruent
square,,431,1,single,you,RG_congruent
trapeze,,580,1,single,happy,RG_congruent
trapeze,,297,0,single,happy,RG_congruent
square,,409,1,single,you,RG_congruent
kite,,425,1,single,neutral,RG_congruent
kite,,457,1,single,neutral,RG_congruent
pentagon,,793,1,single,friend,RG_congruent
square,,632,0,single,you,RG_congruent
square,,483,1,single,you,RG_congruent
pentagon,,684,1,single,friend,RG_congruent
trapeze,,514,1,single,happy,RG_congruent
square,trapeze,496,1,pair,youhappy,RG_congruent
trapeze,square,464,0,pair,youhappy,RG_congruent
square,trapeze,655,1,pair,youhappy,RG_congruent
pentagon,,644,1,single,friend,RG_congruent
square,trapeze,788,1,pair,youhappy,RG_congruent
kite,,679,1,single,neutral,RG_congruent
pentagon,,714,0,single,friend,RG_congruent
trapeze,square,478,1,pair,youhappy,RG_congruent
kite,,663,1,single,neutral,RG_congruent
trapeze,,649,1,single,happy,RG_congruent
trapeze,,730,1,single,happy,RG_congruent
kite,pentagon,900,1,pair,friendneutral,RG_congruent
trapeze,,980,1,single,happy,RG_congruent
pentagon,,541,1,single,friend,RG_congruent
square,,592,1,single,you,RG_congruent
pentagon,,650,1,single,friend,RG_congruent
pentagon,,776,1,single,friend,RG_congruent
square,,548,1,single,you,RG_congruent
square,trapeze,512,0,pair,youhappy,RG_congruent
kite,,603,1,single,neutral,RG_congruent
pentagon,,874,1,single,friend,RG_congruent
square,,350,1,single,you,RG_congruent
pentagon,kite,517,1,pair,friendneutral,RG_congruent
pentagon,kite,476,1,pair,friendneutral,RG_congruent
trapeze,square,459,1,pair,youhappy,RG_congruent
pentagon,kite,525,1,pair,friendneutral,RG_congruent
square,,430,1,single,you,RG_congruent
pentagon,,583,1,single,friend,RG_congruent
square,,456,1,single,you,RG_congruent
kite,,472,1,single,neutral,RG_congruent
square,,452,1,single,you,RG_congruent
kite,,537,1,single,neutral,RG_congruent
pentagon,kite,689,1,pair,friendneutral,RG_congruent
kite,pentagon,595,1,pair,friendneutral,RG_congruent
trapeze,,414,0,single,happy,RG_congruent
trapeze,square,597,1,pair,youhappy,RG_congruent
trapeze,square,679,1,pair,youhappy,RG_congruent
trapeze,square,401,1,pair,youhappy,RG_congruent
pentagon,kite,407,1,pair,friendneutral,RG_congruent
square,,456,1,single,you,RG_congruent
pentagon,kite,384,0,pair,friendneutral,RG_congruent
square,trapeze,1134,1,pair,youhappy,RG_congruent
kite,pentagon,597,1,pair,friendneutral,RG_congruent
square,trapeze,339,1,pair,youhappy,RG_congruent
pentagon,,254,1,single,friend,RG_congruent
trapeze,,190,1,single,happy,RG_congruent
kite,pentagon,769,1,pair,friendneutral,RG_congruent
pentagon,,661,1,single,friend,RG_congruent
square,,444,1,single,you,RG_congruent
kite,,595,1,single,neutral,RG_congruent
trapeze,square,427,1,pair,youhappy,RG_congruent
pentagon,,599,1,single,friend,RG_congruent
kite,,600,0,single,neutral,RG_congruent
trapeze,,678,0,single,happy,RG_congruent
kite,,397,0,single,neutral,RG_congruent
square,trapeze,458,1,pair,youhappy,RG_congruent
pentagon,,691,1,single,friend,RG_congruent
kite,pentagon,418,1,pair,friendneutral,RG_congruent
trapeze,square,499,1,pair,youhappy,RG_congruent
square,,581,1,single,you,RG_congruent
trapeze,,611,1,single,happy,RG_congruent
trapeze,,377,1,single,happy,RG_congruent
kite,,471,1,single,neutral,RG_congruent
kite,,348,1,single,neutral,RG_congruent
trapeze,,529,1,single,happy,RG_congruent
square,,611,1,single,you,RG_congruent
square,,476,1,single,you,RG_congruent
kite,,526,1,single,neutral,RG_congruent
pentagon,,818,1,single,friend,RG_congruent
pentagon,kite,680,1,pair,friendneutral,RG_congruent
pentagon,,544,1,single,friend,RG_congruent
trapeze,square,387,1,pair,youhappy,RG_congruent
kite,,530,1,single,neutral,RG_congruent
square,,353,1,single,you,RG_congruent
pentagon,,483,0,single,friend,RG_congruent
trapeze,,804,1,single,happy,RG_congruent
pentagon,,641,1,single,friend,RG_congruent
trapeze,,515,1,single,happy,RG_congruent
kite,,470,1,single,neutral,RG_congruent
square,trapeze,541,1,pair,youhappy,RG_congruent
trapeze,,337,0,single,happy,RG_congruent
pentagon,kite,480,1,pair,friendneutral,RG_congruent
pentagon,,348,1,single,friend,RG_congruent
trapeze,,316,0,single,happy,RG_congruent
kite,pentagon,1125,1,pair,friendneutral,RG_congruent
square,,1652,0,single,you,RG_congruent
trapeze,,1207,0,single,happy,RG_congruent
kite,pentagon,594,1,pair,friendneutral,RG_congruent
kite,,453,0,single,neutral,RG_congruent
square,trapeze,217,0,pair,youhappy,RG_congruent
pentagon,kite,764,1,pair,friendneutral,RG_congruent
square,,381,1,single,you,RG_congruent
pentagon,,494,1,single,friend,RG_congruent
square,,627,1,single,you,RG_congruent
kite,,901,1,single,neutral,RG_congruent
square,,404,0,single,you,RG_congruent
square,trapeze,650,1,pair,youhappy,RG_congruent
square,trapeze,540,1,pair,youhappy,RG_congruent
kite,pentagon,435,1,pair,friendneutral,RG_congruent
pentagon,,779,1,single,friend,RG_congruent
square,,643,1,single,you,RG_congruent
trapeze,,658,1,single,happy,RG_congruent
trapeze,,451,1,single,happy,RG_congruent
kite,,380,0,single,neutral,RG_congruent
trapeze,,713,1,single,happy,RG_congruent
square,,471,1,single,you,RG_congruent
kite,,454,1,single,neutral,RG_congruent
pentagon,,538,1,single,friend,RG_congruent
kite,pentagon,514,1,pair,friendneutral,RG_congruent
kite,,367,1,single,neutral,RG_congruent
square,,507,1,single,you,RG_congruent
trapeze,,734,1,single,happy,RG_congruent
pentagon,kite,560,1,pair,friendneutral,RG_congruent
kite,pentagon,481,0,pair,friendneutral,RG_congruent
square,,577,1,single,you,RG_congruent
trapeze,square,489,1,pair,youhappy,RG_congruent
pentagon,kite,492,1,pair,friendneutral,RG_congruent
pentagon,kite,637,1,pair,friendneutral,RG_congruent
pentagon,,514,0,single,friend,RG_congruent
trapeze,,611,1,single,happy,RG_congruent
kite,,556,1,single,neutral,RG_congruent
square,,570,0,single,you,RG_congruent
kite,,606,1,single,neutral,RG_congruent
trapeze,,791,1,single,happy,RG_congruent
trapeze,,687,1,single,happy,RG_congruent
pentagon,,424,1,single,friend,RG_congruent
pentagon,,434,1,single,friend,RG_congruent
pentagon,kite,993,1,pair,friendneutral,RG_congruent
square,,561,1,single,you,RG_congruent
square,trapeze,639,1,pair,youhappy,RG_congruent
trapeze,square,617,1,pair,youhappy,RG_congruent
square,,744,1,single,you,RG_congruent
pentagon,,580,1,single,friend,RG_congruent
trapeze,square,468,0,pair,youhappy,RG_congruent
square,,484,1,single,you,RG_congruent
square,,474,1,single,you,RG_congruent
kite,,598,1,single,neutral,RG_congruent
kite,pentagon,613,1,pair,friendneutral,RG_congruent
pentagon,,1053,1,single,friend,RG_congruent
square,,505,1,single,you,RG_congruent
pentagon,,505,1,single,friend,RG_congruent
pentagon,,665,1,single,friend,RG_congruent
kite,pentagon,598,1,pair,friendneutral,RG_congruent
trapeze,,435,1,single,happy,RG_congruent
pentagon,kite,574,1,pair,friendneutral,RG_congruent
kite,,363,0,single,neutral,RG_congruent
trapeze,square,475,1,pair,youhappy,RG_congruent
trapeze,,440,1,single,happy,RG_congruent
kite,,428,1,single,neutral,RG_congruent
kite,,668,1,single,neutral,RG_congruent
square,trapeze,408,1,pair,youhappy,RG_congruent
trapeze,square,486,1,pair,youhappy,RG_congruent
kite,,417,0,single,neutral,RG_congruent
square,trapeze,533,1,pair,youhappy,RG_congruent
trapeze,,463,1,single,happy,RG_congruent
pentagon,,551,1,single,friend,RG_congruent
octagon,triangle,692,1,pair,friendhappy,RG_incongruent
rhomboid,,710,1,single,you,RG_incongruent
diamond,rhomboid,555,1,pair,youneutral,RG_incongruent
octagon,triangle,635,1,pair,friendhappy,RG_incongruent
rhomboid,,605,1,single,you,RG_incongruent
octagon,triangle,576,1,pair,friendhappy,RG_incongruent
triangle,octagon,1075,1,pair,friendhappy,RG_incongruent
diamond,,750,1,single,neutral,RG_incongruent
triangle,,586,0,single,happy,RG_incongruent
triangle,,535,1,single,happy,RG_incongruent
octagon,triangle,495,1,pair,friendhappy,RG_incongruent
triangle,,450,1,single,happy,RG_incongruent
triangle,octagon,594,1,pair,friendhappy,RG_incongruent
triangle,,371,1,single,happy,RG_incongruent
octagon,,532,1,single,friend,RG_incongruent
rhomboid,,389,1,single,you,RG_incongruent
rhomboid,,383,1,single,you,RG_incongruent
rhomboid,,607,1,single,you,RG_incongruent
octagon,,637,1,single,friend,RG_incongruent
diamond,rhomboid,706,1,pair,youneutral,RG_incongruent
diamond,rhomboid,415,1,pair,youneutral,RG_incongruent
diamond,,341,1,single,neutral,RG_incongruent
octagon,,336,0,single,friend,RG_incongruent
diamond,,953,1,single,neutral,RG_incongruent
triangle,octagon,476,1,pair,friendhappy,RG_incongruent
octagon,,562,1,single,friend,RG_incongruent
octagon,,856,1,single,friend,RG_incongruent
rhomboid,,423,1,single,you,RG_incongruent
rhomboid,,514,1,single,you,RG_incongruent
octagon,triangle,549,1,pair,friendhappy,RG_incongruent
triangle,octagon,1083,1,pair,friendhappy,RG_incongruent
rhomboid,diamond,653,1,pair,youneutral,RG_incongruent
diamond,,568,0,single,neutral,RG_incongruent
octagon,,864,1,single,friend,RG_incongruent
rhomboid,diamond,630,1,pair,youneutral,RG_incongruent
diamond,rhomboid,1197,1,pair,youneutral,RG_incongruent
triangle,octagon,553,1,pair,friendhappy,RG_incongruent
triangle,,1122,1,single,happy,RG_incongruent
triangle,,617,1,single,happy,RG_incongruent
rhomboid,,569,1,single,you,RG_incongruent
octagon,,547,1,single,friend,RG_incongruent
diamond,,861,1,single,neutral,RG_incongruent
diamond,,656,0,single,neutral,RG_incongruent
triangle,,948,0,single,happy,RG_incongruent
triangle,,586,1,single,happy,RG_incongruent
rhomboid,,642,1,single,you,RG_incongruent
rhomboid,diamond,609,1,pair,youneutral,RG_incongruent
diamond,rhomboid,531,1,pair,youneutral,RG_incongruent
rhomboid,,629,1,single,you,RG_incongruent
octagon,,535,1,single,friend,RG_incongruent
rhomboid,diamond,836,1,pair,youneutral,RG_incongruent
diamond,,1331,0,single,neutral,RG_incongruent
triangle,,586,1,single,happy,RG_incongruent
diamond,,746,0,single,neutral,RG_incongruent
diamond,,658,1,single,neutral,RG_incongruent
octagon,,673,1,single,friend,RG_incongruent
rhomboid,diamond,571,1,pair,youneutral,RG_incongruent
diamond,,932,0,single,neutral,RG_incongruent
triangle,,614,0,single,happy,RG_incongruent
octagon,,995,1,single,friend,RG_incongruent
triangle,,705,1,single,happy,RG_incongruent
diamond,,732,1,single,neutral,RG_incongruent
diamond,rhomboid,726,1,pair,youneutral,RG_incongruent
rhomboid,diamond,1180,0,pair,youneutral,RG_incongruent
triangle,octagon,363,1,pair,friendhappy,RG_incongruent
diamond,,704,1,single,neutral,RG_incongruent
rhomboid,,786,1,single,you,RG_incongruent
diamond,rhomboid,675,1,pair,youneutral,RG_incongruent
triangle,,672,1,single,happy,RG_incongruent
octagon,triangle,599,1,pair,friendhappy,RG_incongruent
triangle,octagon,651,1,pair,friendhappy,RG_incongruent
octagon,,481,1,single,friend,RG_incongruent
triangle,,433,1,single,happy,RG_incongruent
rhomboid,diamond,779,1,pair,youneutral,RG_incongruent
rhomboid,,594,1,single,you,RG_incongruent
triangle,,566,1,single,happy,RG_incongruent
triangle,octagon,654,0,pair,friendhappy,RG_incongruent
octagon,,649,1,single,friend,RG_incongruent
octagon,triangle,536,1,pair,friendhappy,RG_incongruent
triangle,,550,1,single,happy,RG_incongruent
diamond,,804,1,single,neutral,RG_incongruent
octagon,,730,1,single,friend,RG_incongruent
rhomboid,,567,1,single,you,RG_incongruent
octagon,triangle,581,1,pair,friendhappy,RG_incongruent
triangle,,865,1,single,happy,RG_incongruent
diamond,,663,1,single,neutral,RG_incongruent
triangle,octagon,598,1,pair,friendhappy,RG_incongruent
octagon,,665,1,single,friend,RG_incongruent
triangle,,744,0,single,happy,RG_incongruent
diamond,rhomboid,562,1,pair,youneutral,RG_incongruent
diamond,rhomboid,553,1,pair,youneutral,RG_incongruent
octagon,triangle,587,1,pair,friendhappy,RG_incongruent
rhomboid,,706,1,single,you,RG_incongruent
octagon,triangle,1212,1,pair,friendhappy,RG_incongruent
diamond,,619,1,single,neutral,RG_incongruent
triangle,octagon,567,1,pair,friendhappy,RG_incongruent
diamond,,1018,0,single,neutral,RG_incongruent
octagon,,743,1,single,friend,RG_incongruent
rhomboid,,515,1,single,you,RG_incongruent
octagon,,768,1,single,friend,RG_incongruent
diamond,rhomboid,852,1,pair,youneutral,RG_incongruent
diamond,,703,0,single,neutral,RG_incongruent
rhomboid,diamond,462,1,pair,youneutral,RG_incongruent
octagon,,798,1,single,friend,RG_incongruent
rhomboid,,554,0,single,you,RG_incongruent
rhomboid,,592,1,single,you,RG_incongruent
octagon,,1147,1,single,friend,RG_incongruent
rhomboid,,577,1,single,you,RG_incongruent
rhomboid,,1079,1,single,you,RG_incongruent
triangle,,497,1,single,happy,RG_incongruent
rhomboid,diamond,591,1,pair,youneutral,RG_incongruent
triangle,,536,0,single,happy,RG_incongruent
triangle,,638,1,single,happy,RG_incongruent
rhomboid,diamond,557,1,pair,youneutral,RG_incongruent
octagon,,590,1,single,friend,RG_incongruent
octagon,,482,1,single,friend,RG_incongruent
rhomboid,,613,1,single,you,RG_incongruent
diamond,,805,1,single,neutral,RG_incongruent
diamond,,467,1,single,neutral,RG_incongruent
diamond,,436,1,single,neutral,RG_incongruent
octagon,,655,1,single,friend,RG_incongruent
octagon,,482,1,single,friend,RG_incongruent
octagon,,386,1,single,friend,RG_incongruent
diamond,,411,1,single,neutral,RG_incongruent
triangle,,425,1,single,happy,RG_incongruent
diamond,,495,0,single,neutral,RG_incongruent
rhomboid,,611,1,single,you,RG_incongruent
triangle,,697,1,single,happy,RG_incongruent
diamond,,329,1,single,neutral,RG_incongruent
octagon,,706,1,single,friend,RG_incongruent
triangle,,783,1,single,happy,RG_incongruent
diamond,rhomboid,489,1,pair,youneutral,RG_incongruent
rhomboid,,775,1,single,you,RG_incongruent
octagon,,614,1,single,friend,RG_incongruent
octagon,,514,1,single,friend,RG_incongruent
triangle,,683,1,single,happy,RG_incongruent
diamond,rhomboid,450,1,pair,youneutral,RG_incongruent
rhomboid,diamond,660,0,pair,youneutral,RG_incongruent
diamond,,725,1,single,neutral,RG_incongruent
octagon,triangle,620,1,pair,friendhappy,RG_incongruent
octagon,triangle,511,1,pair,friendhappy,RG_incongruent
diamond,rhomboid,609,1,pair,youneutral,RG_incongruent
octagon,,1188,1,single,friend,RG_incongruent
rhomboid,,618,1,single,you,RG_incongruent
rhomboid,,540,1,single,you,RG_incongruent
diamond,,1001,1,single,neutral,RG_incongruent
rhomboid,diamond,692,0,pair,youneutral,RG_incongruent
triangle,octagon,577,0,pair,friendhappy,RG_incongruent
diamond,rhomboid,685,0,pair,youneutral,RG_incongruent
rhomboid,diamond,572,1,pair,youneutral,RG_incongruent
triangle,,558,1,single,happy,RG_incongruent
triangle,octagon,669,1,pair,friendhappy,RG_incongruent
octagon,triangle,734,1,pair,friendhappy,RG_incongruent
rhomboid,,530,1,single,you,RG_incongruent
rhomboid,,489,1,single,you,RG_incongruent
triangle,octagon,648,1,pair,friendhappy,RG_incongruent
octagon,,643,1,single,friend,RG_incongruent
triangle,,561,1,single,happy,RG_incongruent
triangle,,450,1,single,happy,RG_incongruent
rhomboid,,491,1,single,you,RG_incongruent
triangle,,479,0,single,happy,RG_incongruent
diamond,,657,0,single,neutral,RG_incongruent
rhomboid,diamond,680,1,pair,youneutral,RG_incongruent
rhomboid,,424,1,single,you,RG_incongruent
rhomboid,diamond,407,1,pair,youneutral,RG_incongruent
diamond,rhomboid,524,1,pair,youneutral,RG_incongruent
octagon,,615,1,single,friend,RG_incongruent
octagon,triangle,742,1,pair,friendhappy,RG_incongruent
rhomboid,,568,1,single,you,RG_incongruent
rhomboid,,607,1,single,you,RG_incongruent
triangle,,434,1,single,happy,RG_incongruent
diamond,,636,0,single,neutral,RG_incongruent
triangle,octagon,661,1,pair,friendhappy,RG_incongruent
diamond,,637,1,single,neutral,RG_incongruent
octagon,triangle,553,0,pair,friendhappy,RG_incongruent
diamond,,619,0,single,neutral,RG_incongruent
triangle,octagon,714,1,pair,friendhappy,RG_incongruent
diamond,,609,1,single,neutral,RG_incongruent
octagon,,630,1,single,friend,RG_incongruent
triangle,,505,0,single,happy,RG_incongruent
trapeze,,1143,1,single,you,RG_incongruent
kite,square,703,1,pair,friendhappy,RG_incongruent
square,,562,1,single,friend,RG_incongruent
square,kite,642,1,pair,friendhappy,RG_incongruent
trapeze,,807,1,single,you,RG_incongruent
pentagon,trapeze,829,1,pair,youneutral,RG_incongruent
square,,627,1,single,friend,RG_incongruent
kite,,529,1,single,happy,RG_incongruent
trapeze,,642,1,single,you,RG_incongruent
square,,1295,0,single,friend,RG_incongruent
kite,,688,1,single,happy,RG_incongruent
kite,,477,1,single,happy,RG_incongruent
pentagon,,665,1,single,neutral,RG_incongruent
kite,,868,1,single,happy,RG_incongruent
kite,,1040,1,single,happy,RG_incongruent
pentagon,trapeze,820,1,pair,youneutral,RG_incongruent
kite,square,706,1,pair,friendhappy,RG_incongruent
trapeze,,868,1,single,you,RG_incongruent
trapeze,pentagon,687,1,pair,youneutral,RG_incongruent
square,,507,1,single,friend,RG_incongruent
trapeze,pentagon,565,0,pair,youneutral,RG_incongruent
square,kite,565,0,pair,friendhappy,RG_incongruent
square,kite,805,1,pair,friendhappy,RG_incongruent
kite,,1051,1,single,happy,RG_incongruent
pentagon,,655,1,single,neutral,RG_incongruent
trapeze,,555,1,single,you,RG_incongruent
square,,636,1,single,friend,RG_incongruent
square,,825,0,single,friend,RG_incongruent
pentagon,,1214,0,single,neutral,RG_incongruent
trapeze,pentagon,596,1,pair,youneutral,RG_incongruent
trapeze,,507,1,single,you,RG_incongruent
square,,549,1,single,friend,RG_incongruent
trapeze,pentagon,838,1,pair,youneutral,RG_incongruent
square,kite,603,1,pair,friendhappy,RG_incongruent
kite,,889,0,single,happy,RG_incongruent
pentagon,,892,1,single,neutral,RG_incongruent
pentagon,,1079,1,single,neutral,RG_incongruent
pentagon,trapeze,506,1,pair,youneutral,RG_incongruent
pentagon,trapeze,477,1,pair,youneutral,RG_incongruent
square,,625,1,single,friend,RG_incongruent
trapeze,,630,1,single,you,RG_incongruent
kite,square,1108,0,pair,friendhappy,RG_incongruent
square,kite,846,1,pair,friendhappy,RG_incongruent
pentagon,,971,1,single,neutral,RG_incongruent
square,,650,1,single,friend,RG_incongruent
kite,,782,0,single,happy,RG_incongruent
kite,,493,1,single,happy,RG_incongruent
trapeze,,632,1,single,you,RG_incongruent
kite,square,637,0,pair,friendhappy,RG_incongruent
pentagon,trapeze,1075,1,pair,youneutral,RG_incongruent
pentagon,,958,1,single,neutral,RG_incongruent
square,,646,1,single,friend,RG_incongruent
kite,,563,0,single,happy,RG_incongruent
pentagon,,939,1,single,neutral,RG_incongruent
trapeze,,548,1,single,you,RG_incongruent
kite,square,1293,1,pair,friendhappy,RG_incongruent
trapeze,,575,1,single,you,RG_incongruent
pentagon,,959,0,single,neutral,RG_incongruent
pentagon,,663,1,single,neutral,RG_incongruent
trapeze,pentagon,539,1,pair,youneutral,RG_incongruent
trapeze,,656,1,single,you,RG_incongruent
kite,,636,1,single,happy,RG_incongruent
trapeze,,551,1,single,you,RG_incongruent
trapeze,,761,1,single,you,RG_incongruent
square,,658,1,single,friend,RG_incongruent
square,,518,1,single,friend,RG_incongruent
kite,,936,1,single,happy,RG_incongruent
pentagon,,625,1,single,neutral,RG_incongruent
trapeze,,734,1,single,you,RG_incongruent
pentagon,,591,0,single,neutral,RG_incongruent
kite,,709,1,single,happy,RG_incongruent
kite,square,665,1,pair,friendhappy,RG_incongruent
square,,845,1,single,friend,RG_incongruent
kite,square,514,1,pair,friendhappy,RG_incongruent
square,,452,1,single,friend,RG_incongruent
trapeze,,448,1,single,you,RG_incongruent
trapeze,,413,1,single,you,RG_incongruent
trapeze,pentagon,636,0,pair,youneutral,RG_incongruent
square,,569,1,single,friend,RG_incongruent
trapeze,,577,0,single,you,RG_incongruent
square,,673,1,single,friend,RG_incongruent
pentagon,trapeze,900,1,pair,youneutral,RG_incongruent
trapeze,pentagon,462,1,pair,youneutral,RG_incongruent
trapeze,pentagon,371,1,pair,youneutral,RG_incongruent
trapeze,pentagon,363,1,pair,youneutral,RG_incongruent
kite,,364,1,single,happy,RG_incongruent
kite,,444,1,single,happy,RG_incongruent
pentagon,,881,0,single,neutral,RG_incongruent
square,,796,1,single,friend,RG_incongruent
trapeze,pentagon,427,0,pair,youneutral,RG_incongruent
square,,665,1,single,friend,RG_incongruent
square,kite,1293,1,pair,friendhappy,RG_incongruent
kite,,432,1,single,happy,RG_incongruent
square,kite,468,1,pair,friendhappy,RG_incongruent
kite,square,528,1,pair,friendhappy,RG_incongruent
pentagon,,514,1,single,neutral,RG_incongruent
kite,square,580,1,pair,friendhappy,RG_incongruent
pentagon,trapeze,564,1,pair,youneutral,RG_incongruent
kite,,836,1,single,happy,RG_incongruent
pentagon,,737,1,single,neutral,RG_incongruent
pentagon,,522,1,single,neutral,RG_incongruent
trapeze,,692,0,single,you,RG_incongruent
kite,,743,1,single,happy,RG_incongruent
square,kite,1272,1,pair,friendhappy,RG_incongruent
square,,867,1,single,friend,RG_incongruent
pentagon,trapeze,414,0,pair,youneutral,RG_incongruent
pentagon,,1364,0,single,neutral,RG_incongruent
kite,,492,0,single,happy,RG_incongruent
pentagon,trapeze,791,1,pair,youneutral,RG_incongruent
square,,638,1,single,friend,RG_incongruent
square,kite,723,1,pair,friendhappy,RG_incongruent
kite,,597,1,single,happy,RG_incongruent
pentagon,,571,1,single,neutral,RG_incongruent
pentagon,trapeze,514,1,pair,youneutral,RG_incongruent
trapeze,,445,1,single,you,RG_incongruent
pentagon,,594,0,single,neutral,RG_incongruent
pentagon,,585,1,single,neutral,RG_incongruent
square,kite,872,1,pair,friendhappy,RG_incongruent
trapeze,,580,1,single,you,RG_incongruent
kite,square,748,1,pair,friendhappy,RG_incongruent
pentagon,,1099,1,single,neutral,RG_incongruent
square,kite,709,1,pair,friendhappy,RG_incongruent
pentagon,trapeze,527,1,pair,youneutral,RG_incongruent
pentagon,,1025,1,single,neutral,RG_incongruent
square,,574,1,single,friend,RG_incongruent
pentagon,trapeze,542,1,pair,youneutral,RG_incongruent
pentagon,,623,1,single,neutral,RG_incongruent
square,,581,1,single,friend,RG_incongruent
kite,square,789,1,pair,friendhappy,RG_incongruent
square,,579,1,single,friend,RG_incongruent
kite,,763,1,single,happy,RG_incongruent
