stim1,stim2,RT,correct,condition,Association,TaskType
triangle,,575,1,single,happy,RG_congruent
octagon,,500,1,single,neutral,RG_congruent
diamond,,651,1,single,you,RG_congruent
triangle,,567,1,single,happy,RG_congruent
triangle,,426,1,single,happy,RG_congruent
diamond,,607,1,single,you,RG_congruent
triangle,,443,1,single,happy,RG_congruent
octagon,rhomboid,514,1,pair,friendneutral,RG_congruent
diamond,,545,1,single,you,RG_congruent
rhomboid,,496,1,single,friend,RG_congruent
octagon,,701,1,single,neutral,RG_congruent
octagon,,467,1,single,neutral,RG_congruent
diamond,,539,1,single,you,RG_congruent
diamond,,723,1,single,you,RG_congruent
diamond,,372,1,single,you,RG_congruent
octagon,,334,1,single,neutral,RG_congruent
octagon,rhomboid,543,1,pair,friendneutral,RG_congruent
diamond,,490,1,single,you,RG_congruent
diamond,triangle,566,1,pair,youhappy,RG_congruent
diamond,,452,1,single,you,RG_congruent
triangle,,350,1,single,happy,RG_congruent
rhomboid,,328,0,single,friend,RG_congruent
diamond,triangle,390,0,pair,youhappy,RG_congruent
rhomboid,octagon,458,1,pair,friendneutral,RG_congruent
diamond,,489,1,single,you,RG_congruent
diamond,triangle,493,1,pair,youhappy,RG_congruent
triangle,,539,1,single,happy,RG_congruent
diamond,,483,1,single,you,RG_congruent
octagon,,403,1,single,neutral,RG_congruent
diamond,,450,0,single,you,RG_congruent
rhomboid,,476,1,single,friend,RG_congruent
octagon,,481,1,single,neutral,RG_congruent
octagon,rhomboid,584,1,pair,friendneutral,RG_congruent
diamond,,431,1,single,you,RG_congruent
octagon,,489,1,single,neutral,RG_congruent
triangle,,553,1,single,happy,RG_congruent
rhomboid,octagon,496,1,pair,friendneutral,RG_congruent
diamond,,523,1,single,you,RG_congruent
rhomboid,,537,1,single,friend,RG_congruent
rhomboid,,491,1,single,friend,RG_congruent
rhomboid,,433,1,single,friend,RG_congruent
rhomboid,,565,1,single,friend,RG_congruent
rhomboid,,487,1,single,friend,RG_congruent
triangle,diamond,583,1,pair,youhappy,RG_congruent
rhomboid,octagon,586,1,pair,friendneutral,RG_congruent
triangle,,616,1,single,happy,RG_congruent
triangle,diamond,719,1,pair,youhappy,RG_congruent
triangle,,435,1,single,happy,RG_congruent
rhomboid,,380,0,single,friend,RG_congruent
triangle,,420,1,single,happy,RG_congruent
diamond,,478,1,single,you,RG_congruent
rhomboid,octagon,433,1,pair,friendneutral,RG_congruent
octagon,,617,1,single,neutral,RG_congruent
triangle,diamond,517,1,pair,youhappy,RG_congruent
triangle,,483,1,single,happy,RG_congruent
triangle,,448,1,single,happy,RG_congruent
triangle,diamond,479,0,pair,youhappy,RG_congruent
octagon,,565,1,single,neutral,RG_congruent
rhomboid,octagon,488,1,pair,friendneutral,RG_congruent
rhomboid,,525,1,single,friend,RG_congruent
octagon,,576,1,single,neutral,RG_congruent
octagon,,442,1,single,neutral,RG_congruent
octagon,,484,1,single,neutral,RG_congruent
diamond,,467,1,single,you,RG_congruent
triangle,,722,1,single,happy,RG_congruent
octagon,rhomboid,616,1,pair,friendneutral,RG_congruent
diamond,,605,1,single,you,RG_congruent
triangle,diamond,648,1,pair,youhappy,RG_congruent
diamond,triangle,455,1,pair,youhappy,RG_congruent
octagon,rhomboid,544,1,pair,friendneutral,RG_congruent
rhomboid,,666,1,single,friend,RG_congruent
octagon,,584,1,single,neutral,RG_congruent
octagon,,508,1,single,neutral,RG_congruent
octagon,rhomboid,451,1,pair,friendneutral,RG_congruent
diamond,triangle,416,0,pair,youhappy,RG_congruent
triangle,,662,1,single,happy,RG_congruent
triangle,,408,1,single,happy,RG_congruent
rhomboid,,658,1,single,friend,RG_congruent
diamond,,1117,1,single,you,RG_congruent
octagon,,508,1,single,neutral,RG_congruent
